Rk	Player	Pos	Age	Tm	G	GS	MP	FG	FGA	FG%	3P	3PA	3P%	2P	2PA	2P%	eFG%	FT	FTA	FT%	ORB	DRB	TRB	AST	STL	BLK	TOV	PF	PS/G
1	Alex Abrines	SG	25	OKC	31	2	19.0	1.8	5.1	.357	1.3	4.1	.323	0.5	1.0	.500	.487	0.4	0.4	.923	0.2	1.4	1.5	0.6	0.5	0.2	0.5	1.7	5.3
2	Quincy Acy	PF	28	PHO	10	0	12.3	0.4	1.8	.222	0.2	1.5	.133	0.2	0.3	.667	.278	0.7	1.0	.700	0.3	2.2	2.5	0.8	0.1	0.4	0.4	2.4	1.7
3	Jaylen Adams	PG	22	ATL	9	0	4.8	0.3	1.1	.300	0.2	0.7	.333	0.1	0.4	.250	.400	0.0	0.0		0.0	0.3	0.3	0.7	0.3	0.1	0.1	0.4	0.9
4	Steven Adams	C	25	OKC	49	49	34.0	6.5	10.7	.607	0.0	0.0	.000	6.5	10.6	.608	.607	2.4	4.2	.558	4.7	5.3	9.9	1.8	1.5	0.8	1.6	2.6	15.3
5	Bam Adebayo	C	21	MIA	51	6	22.1	3.0	5.3	.563	0.0	0.2	.111	3.0	5.2	.578	.564	2.1	2.8	.729	2.0	4.7	6.7	2.0	0.7	0.8	1.4	2.6	8.1
6	Deng Adel	SF	21	CLE	7	0	9.7	0.7	1.6	.455	0.4	1.0	.429	0.3	0.6	.500	.591	0.3	0.3	1.000	0.3	0.9	1.1	0.3	0.1	0.3	0.4	0.9	2.1
7	DeVaughn Akoon-Purcell	SG	25	DEN	7	0	3.1	0.4	1.4	.300	0.0	0.6	.000	0.4	0.9	.500	.300	0.1	0.3	.500	0.1	0.4	0.6	0.9	0.3	0.0	0.3	0.6	1.0
8	LaMarcus Aldridge	C	33	SAS	54	54	32.6	8.3	16.1	.516	0.1	0.4	.211	8.3	15.8	.523	.518	4.4	5.2	.850	3.1	5.9	8.9	2.6	0.5	1.2	1.9	2.1	21.1
9	Rawle Alkins	SG	21	CHI	2	0	2.0	0.5	2.0	.250	0.5	0.5	1.000	0.0	1.5	.000	.375	0.0	0.0		1.5	0.0	1.5	1.0	0.5	0.0	0.0	0.0	1.5
10	Grayson Allen	SG	23	UTA	26	1	10.4	1.3	4.0	.314	0.7	2.5	.273	0.6	1.5	.385	.400	1.0	1.3	.735	0.0	0.4	0.4	0.7	0.1	0.1	0.6	1.2	4.2
11	Jarrett Allen	C	20	BRK	52	52	26.7	4.3	7.4	.578	0.1	0.6	.156	4.2	6.8	.616	.585	2.5	3.4	.734	2.5	6.1	8.7	1.5	0.6	1.5	1.4	2.2	11.1
12	Kadeem Allen	SG	26	NYK	3	1	23.7	2.3	5.7	.412	0.3	1.0	.333	2.0	4.7	.429	.441	2.7	2.7	1.000	0.7	3.0	3.7	3.7	0.3	0.0	0.7	3.0	7.7
13	Al-Farouq Aminu	PF	28	POR	52	52	29.6	3.2	7.3	.430	1.3	3.7	.351	1.8	3.6	.513	.520	1.9	2.2	.836	1.6	6.5	8.1	1.2	0.9	0.4	0.8	2.0	9.5
14	Justin Anderson	SF	25	ATL	26	0	8.7	1.1	2.9	.382	0.3	1.4	.216	0.8	1.5	.538	.434	0.6	0.8	.750	0.4	1.2	1.6	0.4	0.4	0.3	0.5	1.0	3.1
15	Kyle Anderson	SF	25	MEM	43	40	29.8	3.5	6.4	.543	0.2	0.8	.265	3.3	5.6	.583	.560	0.9	1.5	.578	1.1	4.7	5.8	3.0	1.3	0.9	1.3	2.6	8.0
16	Ryan Anderson	PF	30	PHO	15	8	18.5	1.3	4.0	.317	0.5	2.3	.206	0.8	1.7	.462	.375	0.7	0.9	.786	0.9	2.1	3.0	1.1	0.2	0.1	0.8	1.5	3.7
17	Ike Anigbogu	C	20	IND	3	0	2.0	0.0	1.0	.000	0.0	0.0		0.0	1.0	.000	.000	0.0	0.0		0.3	0.7	1.0	0.3	0.0	0.3	0.3	0.0	0.0
18	Giannis Antetokounmpo	PF	24	MIL	48	48	33.1	9.8	17.1	.571	0.5	2.4	.197	9.3	14.6	.633	.585	6.6	9.2	.717	2.3	10.2	12.5	5.8	1.5	1.4	3.9	3.5	26.6
19	Carmelo Anthony	PF	34	HOU	10	2	29.4	4.9	12.1	.405	2.1	6.4	.328	2.8	5.7	.491	.492	1.5	2.2	.682	0.9	4.5	5.4	0.5	0.4	0.7	0.8	3.2	13.4
20	OG Anunoby	SF	21	TOR	42	5	20.1	2.9	6.5	.440	1.1	3.3	.331	1.8	3.2	.552	.524	0.4	0.9	.395	0.8	2.1	2.9	0.7	0.6	0.2	0.6	2.0	7.2
Rk	Player	Pos	Age	Tm	G	GS	MP	FG	FGA	FG%	3P	3PA	3P%	2P	2PA	2P%	eFG%	FT	FTA	FT%	ORB	DRB	TRB	AST	STL	BLK	TOV	PF	PS/G
21	Ryan Arcidiacono	PG	24	CHI	52	24	25.1	2.0	4.7	.424	1.2	3.1	.373	0.8	1.6	.524	.547	0.9	1.0	.900	0.3	2.0	2.3	3.5	1.0	0.0	0.8	2.2	6.0
22	Trevor Ariza	SF	33	TOT	48	48	35.4	4.1	10.8	.382	2.1	6.4	.336	2.0	4.4	.450	.482	1.8	2.2	.804	0.7	5.0	5.7	3.7	1.5	0.2	1.6	1.9	12.1
22	Trevor Ariza	SF	33	PHO	26	26	34.0	3.3	8.7	.379	1.9	5.3	.360	1.4	3.4	.409	.489	1.4	1.7	.837	0.6	5.0	5.6	3.3	1.5	0.3	1.5	1.7	9.9
22	Trevor Ariza	SF	33	WAS	22	22	37.0	5.0	13.1	.384	2.4	7.6	.315	2.6	5.5	.479	.476	2.3	2.9	.781	0.7	5.0	5.8	4.1	1.5	0.1	1.8	2.2	14.8
23	D.J. Augustin	PG	31	ORL	52	52	28.0	3.7	8.1	.463	1.7	3.9	.436	2.0	4.1	.488	.569	2.6	3.0	.871	0.5	1.6	2.2	4.7	0.6	0.0	1.6	1.5	11.8
24	Deandre Ayton	C	20	PHO	48	47	30.9	7.1	12.1	.588	0.0	0.0	.000	7.1	12.1	.590	.588	2.1	2.7	.773	3.2	7.4	10.6	2.0	0.8	1.0	1.8	2.8	16.3
25	Dwayne Bacon	SG	23	CHO	24	0	10.7	1.8	3.5	.530	0.5	1.0	.542	1.3	2.5	.525	.608	0.4	0.5	.833	0.1	1.5	1.6	0.7	0.1	0.0	0.5	1.1	4.6
26	Marvin Bagley	PF	19	SAC	38	1	23.9	5.1	9.8	.516	0.3	1.2	.239	4.8	8.6	.555	.531	2.5	3.8	.667	2.4	4.4	6.8	0.9	0.5	0.9	1.7	2.1	12.9
27	Ron Baker	SG	25	TOT	15	0	10.1	0.3	1.3	.200	0.1	0.9	.077	0.2	0.5	.429	.225	0.3	0.4	.833	0.1	0.7	0.7	1.0	0.4	0.1	0.3	1.2	0.9
27	Ron Baker	SG	25	NYK	11	0	9.7	0.4	1.5	.250	0.1	0.8	.111	0.3	0.6	.429	.281	0.5	0.5	.833	0.1	0.5	0.6	1.2	0.5	0.0	0.3	1.5	1.3
27	Ron Baker	SG	25	WAS	4	0	11.3	0.0	1.0	.000	0.0	1.0	.000	0.0	0.0		.000	0.0	0.0		0.0	1.0	1.0	0.5	0.3	0.3	0.5	0.5	0.0
28	Wade Baldwin	PG	22	POR	16	0	5.9	0.6	2.1	.303	0.1	0.6	.222	0.5	1.5	.333	.333	0.5	0.7	.727	0.1	0.8	0.9	0.8	0.1	0.1	0.9	0.7	1.9
29	Lonzo Ball	PG	21	LAL	47	45	30.3	3.9	9.7	.406	1.6	4.9	.329	2.3	4.9	.482	.488	0.4	1.0	.417	1.1	4.2	5.3	5.4	1.5	0.4	2.2	2.4	9.9
30	Mohamed Bamba	C	20	ORL	47	1	16.3	2.5	5.2	.481	0.4	1.5	.300	2.0	3.7	.555	.525	0.8	1.3	.587	1.4	3.6	5.0	0.8	0.3	1.4	0.9	2.2	6.2
31	J.J. Barea	PG	34	DAL	38	0	19.8	4.2	10.1	.418	1.0	3.4	.297	3.2	6.8	.479	.468	1.4	2.1	.705	0.3	2.2	2.5	5.6	0.6	0.0	1.9	1.3	10.9
32	Harrison Barnes	PF	26	DAL	48	48	32.5	6.0	14.7	.406	2.5	6.4	.390	3.5	8.3	.419	.491	3.4	4.1	.833	0.8	3.5	4.3	1.3	0.7	0.2	1.4	1.6	17.8
33	Will Barton	SG	28	DEN	13	8	25.2	4.8	10.6	.449	1.8	4.5	.390	3.0	6.1	.494	.533	1.7	2.2	.786	0.9	3.5	4.4	2.9	0.2	0.5	1.4	2.2	13.0
34	Keita Bates-Diop	SF	23	MIN	5	0	6.4	0.6	2.2	.273	0.0	1.0	.000	0.6	1.2	.500	.273	0.0	0.4	.000	0.0	1.2	1.2	0.0	0.0	0.2	0.2	0.4	1.2
35	Nicolas Batum	SF	30	CHO	52	52	30.9	3.4	7.3	.468	1.5	3.6	.406	1.9	3.7	.529	.569	1.1	1.3	.855	0.9	4.3	5.2	3.3	0.9	0.5	1.6	1.8	9.4
36	Jerryd Bayless	PG	30	MIN	15	4	20.9	2.9	8.1	.361	1.5	3.9	.373	1.5	4.2	.349	.451	0.5	0.8	.583	0.4	1.9	2.3	4.1	0.6	0.1	1.1	1.6	7.8
37	Aron Baynes	C	32	BOS	34	10	14.9	2.0	4.4	.466	0.5	1.4	.333	1.6	2.9	.530	.520	1.1	1.4	.848	1.8	2.6	4.3	1.1	0.2	0.6	0.8	2.4	5.7
38	Kent Bazemore	SG	29	ATL	38	30	26.6	4.9	11.1	.441	1.5	4.6	.326	3.4	6.5	.522	.508	2.3	3.1	.750	0.6	3.4	3.9	2.5	1.7	0.8	2.1	2.7	13.6
39	Bradley Beal	SG	25	WAS	52	52	37.0	9.1	19.5	.469	2.5	7.2	.352	6.6	12.3	.538	.534	3.9	4.9	.796	1.1	3.9	5.0	5.1	1.4	0.8	2.7	2.9	24.7
40	Malik Beasley	SG	22	DEN	52	9	23.4	4.4	8.7	.506	2.0	4.7	.430	2.4	4.0	.593	.621	0.6	0.7	.868	0.4	2.1	2.5	1.2	0.7	0.1	0.6	1.5	11.4
Rk	Player	Pos	Age	Tm	G	GS	MP	FG	FGA	FG%	3P	3PA	3P%	2P	2PA	2P%	eFG%	FT	FTA	FT%	ORB	DRB	TRB	AST	STL	BLK	TOV	PF	PS/G
41	Michael Beasley	PF	30	LAL	25	2	10.6	3.0	5.8	.517	0.1	0.6	.200	2.9	5.2	.554	.528	1.1	1.6	.718	0.5	1.7	2.2	0.9	0.4	0.4	1.0	1.6	7.2
42	Marco Belinelli	SG	32	SAS	52	0	22.4	3.8	8.8	.427	2.0	5.1	.398	1.7	3.7	.466	.542	1.6	1.7	.911	0.2	2.1	2.3	1.9	0.5	0.2	0.8	1.7	11.1
43	Jordan Bell	C	24	GSW	46	2	10.9	1.3	2.4	.523	0.0	0.0	.000	1.3	2.4	.527	.523	0.3	0.5	.667	0.7	1.8	2.5	1.2	0.3	0.8	0.5	1.2	2.8
44	DeAndre' Bembry	SG	24	ATL	52	15	24.9	3.4	7.9	.428	0.7	2.4	.293	2.7	5.5	.486	.472	1.1	1.7	.618	0.6	3.6	4.2	2.7	1.3	0.6	1.8	2.5	8.5
45	Dragan Bender	PF	21	PHO	20	5	12.1	1.6	3.7	.432	0.4	1.9	.184	1.3	1.8	.694	.480	0.8	1.2	.667	0.8	1.8	2.5	0.7	0.3	0.2	0.7	1.0	4.4
46	Davis Bertans	PF	26	SAS	48	5	20.6	2.8	5.6	.487	2.0	4.3	.471	0.7	1.3	.540	.668	0.5	0.6	.833	0.4	3.1	3.4	1.3	0.5	0.5	0.6	1.7	8.1
47	Patrick Beverley	PG	30	LAC	53	24	26.6	2.2	5.8	.382	1.3	3.5	.374	0.9	2.3	.393	.495	1.3	1.8	.755	0.8	3.8	4.6	3.5	0.7	0.5	1.1	3.4	7.1
48	Khem Birch	C	26	ORL	21	0	9.2	1.0	2.0	.512	0.0	0.0	.000	1.0	1.9	.525	.512	0.7	0.9	.789	0.8	1.8	2.6	0.6	0.3	0.5	0.2	0.9	2.7
49	Bismack Biyombo	C	26	CHO	27	15	15.4	1.8	3.1	.565	0.0	0.0		1.8	3.1	.565	.565	1.1	1.7	.644	1.6	3.4	5.0	0.6	0.3	1.1	0.6	2.1	4.6
50	Nemanja Bjelica	PF	30	SAC	51	50	23.7	3.8	7.8	.481	1.5	3.4	.428	2.3	4.4	.522	.574	0.9	1.2	.762	1.6	4.3	5.9	2.0	0.7	0.8	1.2	2.5	9.9
